col0,col1,col2,col3,col4
United States Post Office,Colonial Revival architecture,New York,place listed on the National Register of Historic Places,building
United States Post Office,neoclassicism,New York,place listed on the National Register of Historic Places,building
Mandarin Store and Post Office,vernacular architecture,Florida,place listed on the National Register of Historic Places,post office
United States Post Office Madison Square Station,Neoclassical architecture,Manhattan,place listed on the National Register of Historic Places,post office
Lisbon Post Office,Stripped Classicism,Lisbon,place listed on the National Register of Historic Places,post office
Grafton Post Office,Greek Revival (architecture),Grafton,place listed on the National Register of Historic Places,post office
"General Post Office, Sydney",Neoclassical architecture,New South Wales,Heritage Act - State Heritage Register,post office
General Post Office,Greek Revival (architecture),"Washington, D.C.",National Historic Landmark,post office
"General Post Office, Perth",Neoclassical architecture,City of Perth,listed on the Commonwealth Heritage List,post office
General Post Office,Neoclassical architecture,Queensland,listed on the Commonwealth Heritage List,post office
Former United States Post Office,Georgian architecture,Wisconsin,place listed on the National Register of Historic Places,post office
Federal Building and Post Office,Romanesque Revival architecture,Brooklyn,place listed on the National Register of Historic Places,post office
