col0,col1,col2,col3
Jison-in,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Kudoyama,0816-01-01
Sanbō-in,Daigo-ji,Fushimi-ku,1115-01-01
Ōya-ji,Bandō Sanjūsankasho,Tochigi Prefecture,0810-01-01
Kongōbu-ji,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Kōya,0816-01-01
Ninna-ji,Historic Monuments of Ancient Kyoto,Ukyō-ku,0888-01-01
Saidai-ji,Nanto Shichi Daiji,Nara,0765-01-01
Ginkaku-ji,Historic Monuments of Ancient Kyoto,Sakyō-ku,1465-01-01
Kiyomizu-dera,Saigoku Kannon Pilgrimage,Higashiyama-ku,0798-01-01
Kinkaku-ji,Historic Monuments of Ancient Kyoto,Kita-ku,1397-01-01
Yoshimine-dera,Saigoku Kannon Pilgrimage,Nishikyō-ku,1023-01-01
